TableCount	1
TABLE 1 ROWS 156 COLS 9
TT	Tên vật tư	Đơn vị tính	Số lượng	Ký hiệu nhãn mác	Xuất xứ	Thời gian bảo hành	Đơn giá	Thành tiền
48	Quạt thông gió âm trần thẳng 300	Chiếc	50	TC-25AV5/ Tico	Việt Nam	12 tháng	245.455	12.272.750
49	Quạt trần 3 cánh sắt 1.4m	Chiếc	70	QT-1400S/ Vinawind	Việt Nam	12 tháng	878.182	61.472.740
50	Quạt thông gió gắn tường 250 - 2 chiều	Chiếc	50	TC-15AV6/ Tico	Việt  Nam	12 tháng	227.273	11.363.650
51	Quạt cây công nghiệp 750	Chiếc	40	QĐ750-Đ/ Vinawind	Việt Nam	12 tháng	1.409.091	56.363.640
52	Quạt cây sải cánh 45cm	Chiếc	200	QĐ450-ĐM/ Vinawind	Việt Nam	12 tháng	470.000	94.000.000
53	Quạt treo tường sải cánh 45cm	Chiếc	100	QTT450-ĐM/ Vinawind	Việt Nam	12 tháng	439.091	43.909.100
54	Quạt công nghiệp treo tường 750	Chiếc	20	QTT750-Đ/ Vinawind	Việt Nam	12 tháng	1.290.909	25.818.180
55	Quạt thông gió âm trần 25 x 25	Chiếc	20	TC-20AV4/ Tico	Việt Nam	12 tháng	245.455	4.909.100
56	Tụ quạt trần 3.5µ	Chiếc	120	Tụ 3.5µ/ Vinawind	Việt Nam	6 tháng	27.273	3.272.760
B	Thiết bị vệ sinh, vật tư sửa chữa cấp thoát nước							
1	Bộ bát sen tắm + dây sen	Bộ	100	13608MDA+SH110/ Caesar	Việt Nam	6 tháng	323.636	32.363.600
2	Ống nhiệt Ø20	Mét	50	Tiền Phong	Việt Nam		13.636	681.800
3	Ống nhiệt Ø25	Mét	50	Tiền Phong	Việt Nam		22.727	1.136.350
4	Ống PVC Ø21	Mét	50	Tiền Phong	Việt Nam		9.091	454.550
5	Ống PVC Ø27	Mét	50	Tiền Phong	Việt Nam		13.636	681.800
6	Ống PVC Ø34	Mét	50	Tiền Phong	Việt Nam		15.455	772.750
7	Ống PVC Ø110	Mét	30	Tiền Phong	Việt Nam		96.364	2.890.920
8	Khóa van nhiệt Ø20	Chiếc	30	Tiền Phong	Việt Nam		94.545	2.836.350
9	Khóa van nhiệt Ø25	Chiếc	30	Tiền Phong	Việt Nam		109.091	3.272.730
10	Khoá van nhiệt Ø32	Chiếc	30	Tiền Phong	Việt Nam		156.364	4.690.920
11	Khóa van nhiệt Ø40	Chiếc	30	Tiền Phong	Việt Nam		263.636	7.909.080
12	Khóa van PVC Ø21	Chiếc	20	Tiền Phong	Việt Nam		15.455	309.100
13	Khóa van PVC Ø27	Chiếc	20	Tiền Phong	Việt Nam		22.727	454.540
14	Khóa van PVC Ø34	Chiếc	20	Tiền Phong	Việt Nam		32.727	654.540
15	Đầu bịt ren trong Ø21	Chiếc	100	Tiền Phong	Việt Nam		909	90.900
16	Đầu bịt ống nhiệt Ø20	Chiếc	100	Tiền Phong	Việt Nam		909	90.900
